N_Images 25 
Image Coral Area (cm2) 
Coral4_2_S2 	 8.000000 
Coral4_S1 	 1.000000 
Coral_3_S1 	 7.000000 
IMG_6783 	 6.000000 
Coral_3_S2 	 0.000000 
Coral6_S3 	 7.000000 
Chiquito_S2 	 5.000000 
IMG_6780 	 10.000000 
Coral4_2_S3 	 9.000000 
Coral6_S1 	 6.000000 
Coral_3_S3 	 7.000000 
Chiquito_S3 	 6.000000 
Coral4_L 	 2.000000 
Coral4_2_L 	 9.000000 
Coral4_S2 	 7.000000 
IMG_6782 	 4.000000 
Coral4_S3 	 8.000000 
Coral6_S2 	 7.000000 
IMG_6781 	 7.000000 
IMG_6784 	 6.000000 
Coral_3_L 	 7.000000 
Chiquito_S1 	 5.000000 
Chiquito_L 	 0.000000 
Coral4_2_S1 	 3.000000 
Coral6_L 	 5.000000 
